component,date,value,title,vintage_date,units,freq,seas_adj,updated
CUSR0000SETG01,1990-01-01,134.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1990-02-01,138.2,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1990-03-01,141,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1990-04-01,144.1,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1990-05-01,145.9,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1990-06-01,147.9,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1990-07-01,148.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1990-08-01,149.9,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1990-09-01,152.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1990-10-01,156.6,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1990-11-01,159.3,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1990-12-01,162.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1991-01-01,163.2,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1991-02-01,164.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1991-03-01,159.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1991-04-01,151.9,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1991-05-01,151.6,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1991-06-01,153.9,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1991-07-01,153.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1991-08-01,155.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1991-09-01,153.3,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1991-10-01,150.2,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1991-11-01,150.6,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1991-12-01,153.1,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1992-01-01,156,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1992-02-01,154.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1992-03-01,158.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1992-04-01,160.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1992-05-01,155.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1992-06-01,145.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1992-07-01,150.1,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1992-08-01,147.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1992-09-01,146.1,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1992-10-01,157.6,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1992-11-01,164.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1992-12-01,165.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1993-01-01,170.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1993-02-01,174.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1993-03-01,173.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1993-04-01,172.1,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1993-05-01,176.3,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1993-06-01,174.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1993-07-01,179.6,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1993-08-01,179.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1993-09-01,180.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1993-10-01,180.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1993-11-01,188.3,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1993-12-01,193.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1994-01-01,191.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1994-02-01,191.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1994-03-01,195.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1994-04-01,192.3,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1994-05-01,182.1,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1994-06-01,182.3,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1994-07-01,184.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1994-08-01,187.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1994-09-01,185.2,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1994-10-01,179.9,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1994-11-01,177.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1994-12-01,175.3,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1995-01-01,179.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1995-02-01,181.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1995-03-01,188.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1995-04-01,191.2,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1995-05-01,191.2,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1995-06-01,200.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1995-07-01,199.2,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1995-08-01,191.6,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1995-09-01,189.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1995-10-01,193.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1995-11-01,191.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1995-12-01,178.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1996-01-01,179.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
CUSR0000SETG01,1996-02-01,188.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,2022-09-13
